,timestamp,Hanefi,Onur,Metin,Ekin,Aybuke
0,2020-03-10 12:00:00,1200.0,1200.0,1200.0,1200.0,1200.0
1,2020-03-10 14:00:00,1205.0,1195.0,1200.0,1200.0,1200.0
2,2020-03-10 15:45:00,1199.9280491829095,1195.0,1205.0719508170905,1200.0,1200.0
3,2020-03-11 12:45:00,1194.8571336099633,1200.0709155729462,1205.0719508170905,1200.0,1200.0
4,2020-03-11 16:00:00,1199.931140001647,1200.0709155729462,1205.0719508170905,1194.9259936083163,1200.0
5,2020-03-12 16:25:00,1204.9321309766697,1200.0709155729462,1205.0719508170905,1194.9259936083163,1194.9990090249773
6,2020-03-12 17:50:00,1204.9321309766697,1200.0709155729462,1209.92703013414,1194.9259936083163,1190.1439297079278
7,2020-03-13 12:45:00,1199.8621770282537,1205.1408695213622,1209.92703013414,1194.9259936083163,1190.1439297079278
8,2020-03-13 15:30:00,1199.8621770282537,1200.2097435526898,1214.8581561028125,1194.9259936083163,1190.1439297079278
9,2020-03-13 17:45:00,1194.8671789109476,1205.2047416699959,1214.8581561028125,1194.9259936083163,1190.1439297079278
10,2020-03-13 18:00:00,1194.8671789109476,1200.343629732695,1219.7192680401133,1194.9259936083163,1190.1439297079278
11,2020-03-13 18:15:00,1190.2242204904544,1200.343629732695,1224.3622264606065,1194.9259936083163,1190.1439297079278
12,2020-03-16 14:45:00,1185.3698093293945,1205.198040893755,1224.3622264606065,1194.9259936083163,1190.1439297079278
